epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7118.59,0.97458,0.6158,1.20717,0.94447,0.9306,0.96873,0.64229,1.27367,0.56253,1.46008,0.0003763,0.0003763,0.0003763
65,7234.21,0.97684,0.61967,1.21024,0.9417,0.93397,0.96896,0.64177,1.27015,0.55967,1.4615,0.0003664,0.0003664,0.0003664
66,7349.08,0.96562,0.61867,1.20056,0.94539,0.92918,0.96952,0.64484,1.26348,0.55835,1.4498,0.0003565,0.0003565,0.0003565
67,7464.76,0.95583,0.60515,1.19348,0.94333,0.93267,0.96864,0.64285,1.26812,0.56074,1.45548,0.0003466,0.0003466,0.0003466
68,7578.05,0.95403,0.60569,1.19641,0.94327,0.93381,0.96851,0.6437,1.26948,0.55705,1.45941,0.0003367,0.0003367,0.0003367
69,7691.18,0.95225,0.60735,1.19507,0.94448,0.9303,0.96785,0.64163,1.27218,0.55575,1.46673,0.0003268,0.0003268,0.0003268
70,7801.48,0.95145,0.60581,1.19429,0.95084,0.92436,0.96801,0.64655,1.26673,0.55094,1.46509,0.0003169,0.0003169,0.0003169
71,7910.84,0.94386,0.60133,1.19006,0.938,0.9329,0.96649,0.64306,1.26478,0.54982,1.46534,0.000307,0.000307,0.000307
72,8022.29,0.93248,0.58636,1.18331,0.9467,0.92172,0.96573,0.6418,1.27285,0.5524,1.47801,0.0002971,0.0002971,0.0002971
73,8132.71,0.93518,0.59235,1.18584,0.94835,0.93133,0.96827,0.64515,1.27343,0.55434,1.47609,0.0002872,0.0002872,0.0002872
74,8244.44,0.91638,0.57963,1.17692,0.94917,0.93045,0.9681,0.64591,1.26698,0.55191,1.47611,0.0002773,0.0002773,0.0002773
75,8356.52,0.91589,0.57551,1.17397,0.95472,0.92217,0.96786,0.64389,1.26587,0.55132,1.47875,0.0002674,0.0002674,0.0002674
76,8468.92,0.9174,0.57721,1.17532,0.94361,0.9323,0.96744,0.64524,1.26694,0.5472,1.47854,0.0002575,0.0002575,0.0002575
77,8581.12,0.91387,0.5752,1.16994,0.9432,0.93621,0.96834,0.64471,1.26848,0.54757,1.47794,0.0002476,0.0002476,0.0002476
78,8690.63,0.91223,0.56809,1.16903,0.93944,0.93672,0.96798,0.64292,1.26621,0.54742,1.47347,0.0002377,0.0002377,0.0002377
79,8803.74,0.90367,0.56626,1.16479,0.94805,0.93334,0.96803,0.64424,1.26129,0.5477,1.47022,0.0002278,0.0002278,0.0002278
80,8920.62,0.90415,0.56785,1.15967,0.94796,0.9364,0.96964,0.64533,1.26265,0.54848,1.46577,0.0002179,0.0002179,0.0002179
81,9033.39,0.89964,0.55823,1.15447,0.9482,0.93249,0.9694,0.64695,1.26599,0.5434,1.47145,0.000208,0.000208,0.000208
82,9149.87,0.88775,0.56001,1.15324,0.94786,0.9313,0.96851,0.64662,1.26671,0.54402,1.47774,0.0001981,0.0001981,0.0001981
83,9267.23,0.89339,0.55867,1.15565,0.94341,0.93321,0.9674,0.64636,1.2658,0.5445,1.47693,0.0001882,0.0001882,0.0001882
84,9383.63,0.88384,0.5522,1.1539,0.94515,0.93146,0.96733,0.64612,1.2639,0.54649,1.47749,0.0001783,0.0001783,0.0001783
85,9498.56,0.88313,0.5491,1.15396,0.95304,0.92625,0.96789,0.646,1.26863,0.54604,1.48374,0.0001684,0.0001684,0.0001684
86,9610.48,0.8693,0.54633,1.14167,0.95338,0.92549,0.9678,0.64493,1.27103,0.54538,1.48549,0.0001585,0.0001585,0.0001585
87,9724.67,0.87393,0.54417,1.14343,0.95797,0.92124,0.96773,0.64337,1.27338,0.54358,1.48864,0.0001486,0.0001486,0.0001486
88,9837.7,0.86905,0.53943,1.14193,0.95777,0.91922,0.96798,0.64355,1.272,0.54449,1.48645,0.0001387,0.0001387,0.0001387
89,9949.32,0.86577,0.53523,1.13673,0.95998,0.91796,0.96773,0.64429,1.27361,0.54419,1.4904,0.0001288,0.0001288,0.0001288
90,10060.9,0.85879,0.53449,1.13652,0.96815,0.91232,0.96789,0.64488,1.27119,0.5432,1.48803,0.0001189,0.0001189,0.0001189
91,10183.1,0.79343,0.40891,1.09676,0.96505,0.91089,0.96652,0.64326,1.27285,0.54383,1.49584,0.000109,0.000109,0.000109
92,10294.2,0.77626,0.39108,1.08716,0.95978,0.91508,0.96705,0.64213,1.27311,0.54489,1.49907,9.91e-05,9.91e-05,9.91e-05
93,10405.7,0.76751,0.38752,1.07896,0.96273,0.91593,0.96872,0.64347,1.27363,0.54308,1.50223,8.92e-05,8.92e-05,8.92e-05
94,10516.8,0.7575,0.38186,1.07355,0.96138,0.91705,0.96929,0.64295,1.27294,0.54164,1.50408,7.93e-05,7.93e-05,7.93e-05
95,10628.1,0.74369,0.37677,1.06477,0.96002,0.91922,0.96941,0.64325,1.27016,0.54027,1.50275,6.94e-05,6.94e-05,6.94e-05
96,10739,0.73937,0.37182,1.06258,0.9525,0.92602,0.96955,0.64384,1.2679,0.53853,1.50304,5.95e-05,5.95e-05,5.95e-05
97,10849,0.74095,0.37521,1.0595,0.95198,0.92868,0.96902,0.64423,1.26772,0.53669,1.50503,4.96e-05,4.96e-05,4.96e-05
98,10959,0.74206,0.37243,1.06248,0.95167,0.92778,0.96793,0.64458,1.26743,0.53621,1.5061,3.97e-05,3.97e-05,3.97e-05
99,11068.9,0.73371,0.36913,1.06031,0.95072,0.92964,0.96815,0.64436,1.26721,0.53525,1.50707,2.98e-05,2.98e-05,2.98e-05
100,11180.5,0.72636,0.36588,1.05055,0.95009,0.93236,0.96827,0.64398,1.26642,0.53455,1.5068,1.99e-05,1.99e-05,1.99e-05
